guardian_id,name,city,latitude,longitude,type,specialization,languages,rating,response_time_min,verified,available_now,total_assists,background_checked,phone,joined_year
G0001,Vikram Iyer,Bhopal,23.247354,77.457671,Host Family,Medical Help,Hindi,4.7,7,True,False,284,True,+91 8812140441,2020
G0002,Meera Ali,Mumbai,19.085866,72.843302,Hostel Guardian,Emergency Response,Marathi,4.0,20,True,False,284,True,+91 8929338154,2024
G0003,Arjun Das,Kolkata,22.528408,88.400518,Certified Ally,Escort Service,Bengali,4.5,7,True,False,57,True,+91 7415393687,2022
G0004,Deepa Singh,Hyderabad,17.405807,78.438758,NGO Partner,Emergency Response,"English, Telugu, Hindi",5.0,20,True,False,190,True,+91 7298737106,2020
G0005,Riya Menon,Bhopal,23.293144,77.383834,Verified Local Woman,Language Assist,English,4.0,11,True,False,88,True,+91 7899825838,2022
G0006,Deepa Menon,Kochi,9.89954,76.247724,Host Family,Language Assist,"Malayalam, Tamil, Hindi",4.4,15,True,False,290,True,+91 8392783743,2020
G0007,Rekha Iyer,Chennai,13.075895,80.249823,Verified Local Woman,Medical Help,Telugu,4.5,13,True,True,239,True,+91 7599707677,2021
G0008,Anil Rao,Kochi,9.895149,76.246514,NGO Partner,Escort Service,"Tamil, Hindi, English",4.2,10,False,True,257,True,+91 7202363285,2020
G0009,Asha Patel,Bangalore,12.967207,77.623118,NGO Partner,Language Assist,"English, Hindi, Tamil",4.0,17,True,False,10,True,+91 7491995979,2024
G0010,Geeta Reddy,Kolkata,22.574023,88.373141,NGO Partner,Emergency Response,"Hindi, Bengali, English",3.9,11,False,False,264,False,+91 9685643886,2022
G0011,Sunita Reddy,Bhopal,23.270654,77.379652,Hostel Guardian,Legal Aid,"Urdu, Hindi, English",3.9,3,True,True,62,False,+91 8320763135,2021
G0012,Riya Khan,Mumbai,19.120889,72.924263,Verified Local Woman,Legal Aid,Hindi,4.8,7,True,True,286,True,+91 9266341635,2024
G0013,Sanjay Nair,Pune,18.500861,73.816467,Certified Ally,Language Assist,English,4.6,14,True,True,66,True,+91 7274989148,2022
G0014,Priya Patel,Mumbai,19.070015,72.839904,Verified Local Woman,Medical Help,"Marathi, English, Hindi",4.4,5,False,False,41,True,+91 8196050747,2023
G0015,Meera Khan,Chennai,13.036139,80.311632,NGO Partner,Medical Help,"English, Telugu, Malayalam",4.1,6,True,True,221,True,+91 7232663462,2020
G0016,Meera Nair,Mumbai,19.092252,72.858871,Host Family,Legal Aid,"English, Hindi",4.4,17,True,True,241,True,+91 7323775634,2023
G0017,Ramesh Pillai,Ahmedabad,23.027171,72.539885,Verified Local Woman,Emergency Response,Gujarati,5.0,10,True,True,114,True,+91 7251837136,2021
G0018,Divya Roy,Pune,18.547913,73.90065,Certified Ally,Language Assist,Hindi,4.9,20,True,True,102,True,+91 7251183830,2024
G0019,Ananya Verma,Kochi,9.94099,76.309487,Hostel Guardian,Language Assist,"Malayalam, Tamil, English",3.9,19,False,True,34,False,+91 7344076115,2021
G0020,Rekha Singh,Delhi,28.583498,77.163523,Hostel Guardian,Medical Help,"Hindi, Punjabi, Urdu",4.2,4,True,True,294,True,+91 8119980130,2021
G0021,Rekha Kumar,Bhopal,23.248768,77.389735,Certified Ally,Language Assist,"English, Hindi, Urdu",4.8,13,False,False,9,True,+91 9418039268,2020
G0022,Kavya Mehta,Delhi,28.599575,77.187093,Verified Local Woman,Medical Help,"English, Punjabi, Urdu",4.5,14,True,True,283,True,+91 9627135980,2024
G0023,Anil Kumar,Mumbai,19.040092,72.90792,Certified Ally,Emergency Response,"English, Gujarati, Hindi",3.9,6,True,True,149,True,+91 8472659626,2021
G0024,Anil Verma,Bhopal,23.308589,77.439824,Verified Local Woman,General Safety,"English, Urdu, Hindi",4.0,16,True,True,175,True,+91 9736381108,2022
G0025,Deepa Sharma,Bangalore,12.922152,77.626146,Verified Local Woman,Emergency Response,"Tamil, Hindi, English",4.6,7,True,False,287,True,+91 7547374338,2020
G0026,Pooja Menon,Kolkata,22.595501,88.391027,Verified Local Woman,Escort Service,"Bengali, Hindi",3.9,20,False,True,84,False,+91 8016779084,2021
G0027,Vikram Gupta,Bangalore,12.957447,77.556187,NGO Partner,General Safety,"Kannada, Tamil",4.8,10,True,False,60,True,+91 7166320906,2023
G0028,Sunita Joshi,Chennai,13.09503,80.25379,Host Family,Medical Help,Malayalam,3.9,3,True,True,147,True,+91 8198832728,2022
G0029,Neha Iyer,Bhopal,23.240998,77.395118,Host Family,Legal Aid,"English, Urdu, Hindi",4.7,11,True,True,181,True,+91 8347233823,2023
G0030,Divya Verma,Goa,15.313056,74.162721,NGO Partner,Emergency Response,"Konkani, English, Portuguese",4.4,19,False,True,105,True,+91 7300535210,2022
G0031,Anil Joshi,Goa,15.261259,74.145324,Hostel Guardian,Escort Service,"Konkani, Hindi",4.7,16,True,False,288,True,+91 8805803262,2023
G0032,Deepa Sharma,Bhopal,23.266028,77.439697,Certified Ally,Escort Service,"Hindi, English, Urdu",4.4,9,True,True,169,True,+91 8899061865,2021
G0033,Suresh Patel,Ahmedabad,23.024773,72.564154,Certified Ally,Legal Aid,"English, Gujarati",3.8,13,True,False,125,True,+91 7964824319,2021
G0034,Meera Khan,Bangalore,12.932389,77.547743,Hostel Guardian,Emergency Response,Kannada,4.6,17,True,False,104,True,+91 8649174966,2023
G0035,Ramesh Sharma,Pune,18.501836,73.857557,Verified Local Woman,Language Assist,Marathi,4.9,10,True,False,270,True,+91 9394039673,2021
G0036,Suresh Ali,Delhi,28.588829,77.200038,Hostel Guardian,Legal Aid,"English, Urdu",4.7,13,False,False,263,True,+91 9353092123,2023
G0037,Sanjay Menon,Bangalore,12.94448,77.552298,Certified Ally,Legal Aid,"Tamil, English, Hindi",4.1,18,True,True,44,True,+91 8007142260,2022
G0038,Kavya Menon,Hyderabad,17.351122,78.52967,NGO Partner,General Safety,"Telugu, Urdu",4.8,7,True,True,213,True,+91 9001129658,2023
G0039,Rekha Rao,Mumbai,19.08934,72.914846,Verified Local Woman,Legal Aid,Gujarati,4.8,15,True,False,157,True,+91 8799682701,2024
G0040,Divya Das,Kochi,9.899857,76.306556,NGO Partner,Emergency Response,"English, Hindi, Malayalam",4.4,15,True,False,212,True,+91 9007425404,2021
G0041,Riya Das,Goa,15.330044,74.163609,Host Family,Language Assist,"Konkani, English, Portuguese",4.2,8,True,True,113,True,+91 8449553823,2023
G0042,Sana Sharma,Kolkata,22.533605,88.336694,Hostel Guardian,Emergency Response,"Hindi, Bengali",4.3,14,True,True,25,True,+91 8062073697,2021
G0043,Sana Singh,Mumbai,19.107801,72.913773,Hostel Guardian,Medical Help,"Marathi, Hindi, English",3.8,17,True,False,90,True,+91 7491914923,2021
G0044,Priya Joshi,Kolkata,22.573675,88.355641,Hostel Guardian,General Safety,English,4.1,15,True,False,43,True,+91 9693985578,2021
G0045,Mohan Rao,Delhi,28.575887,77.192762,Verified Local Woman,Escort Service,"Punjabi, Urdu, Hindi",4.9,20,True,True,264,True,+91 7054340558,2023
G0046,Sunita Roy,Jaipur,26.89472,75.789179,Host Family,Language Assist,Rajasthani,4.6,8,True,False,143,True,+91 9311435034,2023
G0047,Fatima Menon,Jaipur,26.898763,75.834478,Verified Local Woman,Escort Service,"English, Rajasthani",5.0,17,True,True,199,True,+91 9123030247,2022
G0048,Mohan Iyer,Bangalore,12.946778,77.594325,Certified Ally,Escort Service,"English, Tamil",4.2,11,True,True,102,True,+91 8745595491,2023
G0049,Sana Khan,Ahmedabad,23.000984,72.525089,NGO Partner,Emergency Response,English,4.5,5,True,True,129,True,+91 9497762234,2022
G0050,Vikram Pillai,Jaipur,26.912668,75.742448,Certified Ally,Escort Service,"English, Rajasthani, Hindi",4.1,17,True,True,66,True,+91 8355268102,2020
G0051,Vikram Khan,Kochi,9.972027,76.241256,Certified Ally,General Safety,"English, Malayalam, Tamil",4.0,19,True,False,104,True,+91 8549972386,2021
G0052,Deepa Kumar,Kolkata,22.571545,88.412465,Certified Ally,Emergency Response,English,4.1,4,True,False,69,True,+91 9108307952,2020
G0053,Lakshmi Gupta,Mumbai,19.093214,72.903862,Host Family,Emergency Response,"English, Marathi, Gujarati",4.1,11,False,True,38,True,+91 7318180503,2024
G0054,Mohan Rao,Bhopal,23.282722,77.399378,Certified Ally,Emergency Response,"Hindi, Urdu, English",4.6,10,True,False,120,True,+91 8633711193,2023
G0055,Aisha Rao,Jaipur,26.925753,75.790877,Hostel Guardian,Emergency Response,"English, Rajasthani",3.9,6,False,True,113,True,+91 7348697524,2021
